V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20
0,48197;0,08845;0,0478;0,03914;0,0258;0,54675;0,57150;0,39914;0,39676;0,55469;0,57994;0,45205;0,47550;0,54452;0,57210;0,50076;0,50151;0,49418;0,49775;0
0,46721;0,16162;0,0884;0,06845;0,0391;0,47895;0,54675;0,33134;0,39914;0,53371;0,55469;0,44235;0,45205;0,48695;0,54452;0,49926;0,50076;0,48872;0,49418;0
0,45958;0,17894;0,1616;0,09795;0,0684;0,48923;0,47895;0,36686;0,33134;0,51745;0,53371;0,42972;0,44235;0,47583;0,48695;0,49752;0,49926;0,47969;0,48872;0
0,45404;0,19310;0,1789;0,12593;0,0979;0,46585;0,48923;0,32849;0,36686;0,49929;0,51745;0,40404;0,42972;0,46445;0,47583;0,49542;0,49752;0,47183;0,47969;0
0,45810;0,12144;0,1931;0,14282;0,1259;0,51593;0,46585;0,37329;0,32849;0,49846;0,49929;0,39703;0,40404;0,51466;0,46445;0,49327;0,49542;0,46418;0,47183;0
0,44974;0,06984;0,1214;0,16179;0,1428;0,53328;0,51593;0,42438;0,37329;0,49009;0,49846;0,39666;0,39703;0,54130;0,51466;0,49048;0,49327;0,45773;0,46418;0
0,45207;0,04190;0,0698;0,17509;0,1618;0,56041;0,53328;0,43448;0,42438;0,49096;0,49009;0,39276;0,39666;0,55991;0,54130;0,48798;0,49048;0,45471;0,45773;0
0,44937;0,03589;0,0419;0,18629;0,1751;0,56812;0,56041;0,45318;0,43448;0,48775;0,49096;0,38834;0,39276;0,56420;0,55991;0,48525;0,48798;0,45266;0,45471;0
0,45158;0,03510;0,0359;0,19304;0,1863;0,56309;0,56812;0,42004;0,45318;0,49138;0,48775;0,41298;0,38834;0,56634;0,56420;0,48268;0,48525;0,45217;0,45266;0
0,45269;0,01158;0,0351;0,19644;0,1930;0,58891;0,56309;0,42510;0,42004;0,49310;0,49138;0,41446;0,41298;0,58683;0,56634;0,48016;0,48268;0,45109;0,45217;0
0,45330;0,01209;0,0116;0,19703;0,1964;0,58422;0,58891;0,40602;0,42510;0,48884;0,49310;0,39928;0,41446;0,58723;0,58683;0,47766;0,48016;0,45180;0,45109;0
0,45380;0,01499;0,0121;0,19329;0,1970;0,59294;0,58422;0,40662;0,40602;0,48054;0,48884;0,39193;0,39928;0,59245;0,58723;0,47503;0,47766;0,45215;0,45180;0
0,45417;0,00645;0,0150;0,18269;0,1933;0,58791;0,59294;0,40662;0,40662;0,49247;0,48054;0,41870;0,39193;0,58776;0,59245;0,47216;0,47503;0,45311;0,45215;0
0,44900;0,01870;0,0064;0,17537;0,1827;0,57080;0,58791;0,38091;0,40662;0,47199;0,49247;0,36975;0,41870;0,57384;0,58776;0,46936;0,47216;0,45259;0,45311;0
0,45232;0,01872;0,0187;0,15672;0,1754;0,57818;0,57080;0,38814;0,38091;0,49842;0,47199;0,41382;0,36975;0,57357;0,57384;0,46638;0,46936;0,45252;0,45259;0
0,46106;0,04538;0,0187;0,14259;0,1567;0,60065;0,57818;0,39637;0,38814;0,52279;0,49842;0,43169;0,41382;0,59472;0,57357;0,46445;0,46638;0,45407;0,45252;0
