V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20
0,28731;0,16849;0,2531;0,30764;0,2828;0,67482;0,73018;0,32255;0,43463;0,72269;0,76123;0,5629;0,53535;0,67155;0,72853;0,22086;0,21585;0,27678;0,26625;1
0,32817;0,24423;0,1685;0,36899;0,3076;0,74237;0,67482;0,34452;0,32255;0,82665;0,72269;0,66773;0,5629;0,7067;0,67155;0,22689;0,22086;0,29174;0,27678;1
0,31032;0,21097;0,2442;0,39422;0,369;0,65082;0,74237;0,32466;0,34452;0,78961;0,82665;0,62986;0,66773;0,67541;0,7067;0,2329;0,22689;0,29986;0,29174;1
0,3198;0,20581;0,211;0,4193;0,3942;0,6671;0,65082;0,35415;0,32466;0,79564;0,78961;0,68009;0,62986;0,67022;0,67541;0,23923;0,2329;0,30683;0,29986;1
0,323;0,17999;0,2058;0,44067;0,4193;0,67933;0,6671;0,39445;0,35415;0,78764;0,79564;0,69956;0,68009;0,64585;0,67022;0,24543;0,23923;0,31372;0,30683;1
0,30995;0,08644;0,18;0,45017;0,4407;0,53076;0,67933;0,26562;0,39445;0,80773;0,78764;0,72281;0,69956;0,55199;0,64585;0,25059;0,24543;0,31825;0,31372;1
0,31291;0,06234;0,0864;0,44311;0,4502;0,58798;0,53076;0,3542;0,26562;0,75275;0,80773;0,55357;0,72281;0,57263;0,55199;0,25711;0,25059;0,3152;0,31825;1
0,31069;0,06149;0,0623;0,44647;0,4431;0,55579;0,58798;0,32527;0,3542;0,71981;0,75275;0,50759;0,55357;0,54706;0,57263;0,26183;0,25711;0,31527;0,3152;1
0,33346;0,11075;0,0615;0,46288;0,4465;0,60965;0,55579;0,35015;0,32527;0,82832;0,71981;0,581;0,50759;0,60112;0,54706;0,26688;0,26183;0,318;0,31527;1
0,35204;0,20751;0,1107;0,46612;0,4629;0,6968;0,60965;0,4913;0,35015;0,87001;0,82832;0,64722;0,581;0,69099;0,60112;0,27476;0,26688;0,32381;0,318;1
0,35819;0,24489;0,2075;0,45877;0,4661;0,70558;0,6968;0,46215;0,4913;0,85018;0,87001;0,57708;0,64722;0,72041;0,69099;0,28319;0,27476;0,33346;0,32381;1
0,37751;0,28649;0,2449;0,4656;0,4588;0,76492;0,70558;0,51704;0,46215;0,93667;0,85018;0,64726;0,57708;0,74903;0,72041;0,29173;0,28319;0,34638;0,33346;1
0,37025;0,19102;0,2865;0,42705;0,4656;0,68204;0,76492;0,43506;0,51704;0,91418;0,93667;0,61383;0,64726;0,68486;0,74903;0,30135;0,29173;0,35829;0,34638;1
0,39006;0,16895;0,191;0,38694;0,427;0,68528;0,68204;0,38489;0,43506;0,88445;0,91418;0,57431;0,61383;0,67301;0,68486;0,3117;0,30135;0,36961;0,35829;1
0,38206;0,1338;0,169;0,36093;0,3869;0,64639;0,68528;0,35644;0,38489;0,84242;0,88445;0,5259;0,57431;0,64292;0,67301;0,31985;0,3117;0,37561;0,36961;1
0,42303;0,23086;0,1338;0,36962;0,3609;0,70566;0,64639;0,35645;0,35644;0,88149;0,84242;0,54261;0,5259;0,68899;0,64292;0,32927;0,31985;0,38858;0,37561;1
0,45109;0,37532;0,2309;0,40583;0,3696;0,80258;0,70566;0,46372;0,35645;0,9018;0,88149;0,56191;0,54261;0,78831;0,68899;0,33915;0,32927;0,4033;0,38858;1
0,47225;0,43858;0,3753;0,45572;0,4058;0,80596;0,80258;0,4638;0,46372;0,91187;0,9018;0,53057;0,56191;0,83025;0,78831;0,34928;0,33915;0,4237;0,4033;1
0,45478;0,39959;0,4386;0,47936;0,4557;0,78013;0,80596;0,47169;0,4638;0,87462;0,91187;0,53083;0,53057;0,78831;0,83025;0,35777;0,34928;0,43664;0,4237;1
0,4517;0,19759;0,3996;0,49046;0,4794;0,65919;0,78013;0,36403;0,47169;0,87138;0,87462;0,55782;0,53083;0,64372;0,78831;0,36593;0,35777;0,45057;0,43664;1
0,49649;0,21855;0,1976;0,5246;0,4905;0,70465;0,65919;0,33347;0,36403;0,87743;0,87138;0,48317;0,55782;0,65371;0,64372;0,37639;0,36593;0,46526;0,45057;1
0,4629;0,20145;0,2186;0,54057;0,5246;0,55541;0,70465;0,24266;0,33347;0,85006;0,87743;0,49057;0,48317;0,60258;0,65371;0,38312;0,37639;0,46763;0,46526;1
0,4629;0,20013;0,2015;0,54021;0,5406;0,603;0,55541;0,28628;0,24266;0,83317;0,85006;0,47318;0,49057;0,60738;0,60258;0,39075;0,38312;0,46576;0,46763;1
0,4837;0,20285;0,2001;0,54852;0,5402;0,66808;0,603;0,39707;0,28628;0,86411;0,83317;0,50272;0,47318;0,61057;0,60738;0,39895;0,39075;0,47154;0,46576;1
0,47115;0,16162;0,2028;0,54245;0,5485;0,51199;0,66808;0,2768;0,39707;0,86525;0,86411;0,48831;0,50272;0,54533;0,61057;0,40636;0,39895;0,47543;0,47154;1
0,46278;0,09958;0,1616;0,51492;0,5425;0,58053;0,51199;0,40681;0,2768;0,84523;0,86525;0,51497;0,48831;0,58634;0,54533;0,414;0,40636;0,46868;0,47543;1
0,50375;0,19333;0,0996;0,49923;0,5149;0,69214;0,58053;0,44509;0,40681;0,92143;0,84523;0,5981;0,51497;0,64346;0,58634;0,42354;0,414;0,47685;0,46868;1
0,52209;0,27292;0,1933;0,47778;0,4992;0,68527;0,69214;0,40203;0,44509;0,91306;0,92143;0,50888;0,5981;0,69605;0,64346;0,43411;0,42354;0,48869;0,47685;1
0,49686;0,27334;0,2729;0,44535;0,4778;0,65087;0,68527;0,47506;0,40203;0,83559;0,91306;0,41869;0,50888;0,69751;0,69605;0,44228;0,43411;0,49133;0,48869;1
0,51458;0,25852;0,2733;0,42606;0,4453;0,72197;0,65087;0,47644;0,47506;0,8558;0,83559;0,44896;0,41869;0,68233;0,69751;0,45041;0,44228;0,50001;0,49133;0
0,48456;0,16389;0,2585;0,38649;0,4261;0,52873;0,72197;0,29422;0,47644;0,76883;0,8558;0,31818;0,44896;0,52803;0,68233;0,45672;0,45041;0,50437;0,50001;0
0,45896;0,28344;0,1639;0,3513;0,3865;0,40967;0,52873;0,22722;0,29422;0,73675;0,76883;0,31082;0,31818;0,42777;0,52803;0,4608;0,45672;0,49541;0,50437;0
0,44395;0,32175;0,2834;0,30241;0,3513;0,4371;0,40967;0,26402;0,22722;0,67548;0,73675;0,28682;0,31082;0,40301;0,42777;0,46448;0,4608;0,47978;0,49541;0
0,42882;0,38517;0,3218;0,27321;0,3024;0,34814;0,4371;0,1688;0,26402;0,66302;0,67548;0,30893;0,28682;0,34816;0,40301;0,46642;0,46448;0,46617;0,47978;0
0,4346;0,25136;0,3852;0,22528;0,2732;0,445;0,34814;0,34156;0,1688;0,60123;0,66302;0,23293;0,30893;0,43696;0,34816;0,46905;0,46642;0,45018;0,46617;0
0,43128;0,13593;0,2514;0,21936;0,2253;0,50543;0,445;0,44935;0,34156;0,54644;0,60123;0,17641;0,23293;0,50766;0,43696;0,46946;0,46905;0,43952;0,45018;0
0,40642;0,1541;0,1359;0,24816;0,2194;0,47849;0,50543;0,41664;0,44935;0,46631;0,54644;0,10845;0,17641;0,49913;0,50766;0,46723;0,46946;0,42901;0,43952;0
0,4127;0,13747;0,1541;0,26874;0,2482;0,53684;0,47849;0,50545;0,41664;0,50759;0,46631;0,16729;0,10845;0,51232;0,49913;0,46425;0,46723;0,42276;0,42901;1
0,42673;0,13493;0,1375;0,27776;0,2687;0,55937;0,53684;0,46048;0,50545;0,53742;0,50759;0,19224;0,16729;0,54054;0,51232;0,46285;0,46425;0,42235;0,42276;1
0,49034;0,37771;0,1349;0,28161;0,2778;0,74212;0,55937;0,53375;0,46048;0,57031;0,53742;0,21259;0,19224;0,72747;0,54054;0,46478;0,46285;0,43349;0,42235;1
0,52885;0,61407;0,3777;0,30185;0,2816;0,91575;0,74212;0,65426;0,53375;0,696;0,57031;0,32814;0,21259;0,92664;0,72747;0,4664;0,46478;0,45301;0,43349;1
0,55679;0,71449;0,6141;0,34818;0,3018;0,9748;0,91575;0,65427;0,65426;0,7447;0,696;0,37772;0,32814;1;0,92664;0,47109;0,4664;0,48308;0,45301;1
0,57401;0,66981;0,7145;0,40027;0,3482;0,98313;0,9748;0,64561;0,65427;0,73824;0,7447;0,34953;0,37772;0,96831;1;0,47665;0,47109;0,51534;0,48308;1
0,58361;0,42848;0,6698;0,45097;0,4003;0,83441;0,98313;0,44677;0,64561;0,77697;0,73824;0,37796;0,34953;0,82839;0,96831;0,48164;0,47665;0,54672;0,51534;1
0,59395;0,2881;0,4285;0,50016;0,451;0,75731;0,83441;0,29775;0,44677;0,8097;0,77697;0,41782;0,37796;0,74757;0,82839;0,48778;0,48164;0,56744;0,54672;1
0,56011;0,17444;0,2881;0,51639;0,5002;0,58985;0,75731;0,16372;0,29775;0,67897;0,8097;0,2618;0,41782;0,60644;0,74757;0,49265;0,48778;0,57369;0,56744;1
