V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21
0,24170;0,20332;0,1077;0,12703;0,0837;0,32071;0,38081;0,49241;0,48531;0,34778;0,42842;0,54436;0,61727;0,36127;0,42820;0,31016;0,31289;0,28619;0,29919;0;0
0,18789;0,37544;0,2033;0,22218;0,1270;0,15604;0,32071;0,29038;0,49241;0,28077;0,34778;0,51420;0,54436;0,22157;0,36127;0,30471;0,31016;0,26628;0,28619;0;0
0,16009;0,41621;0,3754;0,31792;0,2222;0,18101;0,15604;0,39621;0,29038;0,22885;0,28077;0,47491;0,51420;0,19461;0,22157;0,29836;0,30471;0,23336;0,26628;0;0
0,13991;0,44950;0,4162;0,40874;0,3179;0,12422;0,18101;0,28188;0,39621;0,17084;0,22885;0,39505;0,47491;0,16699;0,19461;0,29070;0,29836;0,20475;0,23336;0;0
0,15471;0,28094;0,4495;0,46357;0,4087;0,24585;0,12422;0,41537;0,28188;0,16820;0,17084;0,37327;0,39505;0,28882;0,16699;0,28287;0,29070;0,17686;0,20475;0;0
0,12422;0,15954;0,2809;0,52513;0,4636;0,28799;0,24585;0,56761;0,41537;0,14149;0,16820;0,37213;0,37327;0,35348;0,28882;0,27269;0,28287;0,15336;0,17686;0;0
0,13274;0,09382;0,1595;0,56831;0,5251;0,35387;0,28799;0,59771;0,56761;0,14426;0,14149;0,35999;0,37213;0,39864;0,35348;0,26359;0,27269;0,14233;0,15336;0;0
0,12287;0,07968;0,0938;0,60465;0,5683;0,37259;0,35387;0,65343;0,59771;0,13399;0,14426;0,34625;0,35999;0,40903;0,39864;0,25365;0,26359;0,13489;0,14233;0;0
0,13094;0,07783;0,0797;0,62656;0,6047;0,36038;0,37259;0,55469;0,65343;0,14561;0,13399;0,42286;0,34625;0,41423;0,40903;0,24428;0,25365;0,13309;0,13489;0;0
0,13498;0,02249;0,0778;0,63760;0,6266;0,42309;0,36038;0,56978;0,55469;0,15108;0,14561;0,42745;0,42286;0,46394;0,41423;0,23509;0,24428;0,12915;0,13309;0;0
